yc,tc,yg,tg
1977,9.69,1977,8.85
1978,9.41,1978,8.69
1979,9.06,1979,8.73
1980,9.54,1980,8.98
1981,9.38,1981,9.17
1982,10.07,1982,8.64
1983,10.12,1983,9.03
1984,9.75,1984,8.69
1985,9.00,1985,8.66
1986,8.94,1986,8.83
1987,9.22,1987,8.99
1988,9.82,1988,9.20
1989,10.76,1989,8.92
1990,10.94,1990,9.23
1991,9.67,1991,9.18
1992,10.15,1992,8.84
1993,9.69,1993,8.87
1994,10.48,1994,9.04
1995,10.55,1995,9.35
1996,9.27,1996,9.04
1997,10.64,1997,9.20
1998,10.40,1998,9.52
1999,10.86,1999,9.29
2000,10.52,2000,9.20
2001,10.18,2001,9.41
2002,10.91,2002,9.57
2003,10.81,2003,9.53
2004,10.77,2004,9.32
2005,10.63,2005,9.70
2006,11.10,2006,9.53
2007,10.83,2007,9.73
2008,10.38,2008,9.43
2009,10.52,2009,9.51
2010,9.38,2010,9.70
2011,11.19,2011,9.52
2012,10.00,2012,9.51
2013,9.91,2013,9.61
